Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
117,1.0,-0.72589,2138.4,3307.4,730.6,1802.7,1504.7,0.12562040000000002,0.08094666069211098,-9.946513619306599e-05,0.0009333830001303969,-0.005269899999999999,1.0842907807382696e-05
118,0.0,-0.458722,1668.7,2486.0,1552.0,963.4,1522.6,0.12537199999999998,0.08088280021254715,-2.5006473444989516e-05,0.00106862736783789,-0.0052815,1.682125465477505e-05
119,1.0,0.473283,2703.3,2718.5,1319.5,1128.7,1589.8,0.1256929,0.08108565087422163,-4.367315540758994e-05,0.00117747721500793,-0.005280600000000001,2.2681903642642625e-05
120,2.0,-0.619674,2168.4,3494.4,543.6,1725.6,1768.8,0.12547049999999998,0.08098538237443915,-0.0004331919109370078,0.0010883327472228598,-0.0051737000000000016,3.1423535147725186e-05
121,5.0,0.418555,2171.9,2821.4,1216.6,1093.1,1728.3,0.125779,0.08116304046586617,-0.00037818261607937005,0.0016747821237505568,-0.0052234000000000004,3.9530148493365495e-05
122,3.0,0.290255,1899.4,1699.5,2338.5,499.5,1200.0,0.12600229999999998,0.08123996649532714,-0.00033118131756407,0.0018604311391230669,-0.0051844000000000005,3.6992190252884594e-05
123,5.0,0.0,1900.6,42.3,3995.7,0.0,42.3,0.12600229999999998,0.08123996649532714,-0.00033118131756407,0.0018604311391230669,-0.0051844000000000005,3.6992190252884594e-05
124,4.0,-0.457828,1942.7,1989.3,2048.7,762.1,1227.2,0.1258477,0.08120382988044618,-0.00044961276595691986,0.0018415635146002667,-0.0051224,4.8986079562699e-05
125,1.0,-0.382328,2016.6,2391.6,1646.4,828.9,1562.7,0.12560690000000002,0.0811307937557175,-0.00045644462856414,0.0018522876164862663,-0.005068,5.0360186797435625e-05
126,3.0,-0.75843,1525.4,3305.8,732.2,1856.9,1448.9,0.1251328,0.08099973074167974,-0.00051262627226915,0.00131158212680991,-0.005213,5.8816859373761945e-05
127,3.0,0.367183,1981.7,1572.8,2465.2,537.1,1035.7,0.1253632,0.0810386690040387,-0.00053002290860673,0.0014397773116723,-0.005175600000000001,5.88549233747356e-05
128,4.0,-0.688897,2289.0,2164.4,1873.6,1080.3,1084.1,0.1251649,0.08087458125363617,-0.00069453871442331,0.0017495956837492899,-0.005268299999999999,5.6717479958888116e-05
129,0.0,-0.532867,1795.9,3171.3,866.7,1357.2,1814.1,0.1249276,0.08082703352407662,-0.00074161440618639,0.0019159415648890173,-0.0053063,4.966131854458758e-05
130,5.0,0.33696,2144.8,2547.2,1490.8,833.4,1713.8,0.1252076,0.08101102546689366,-0.0007134927652212321,0.001902502816223495,-0.0053396,5.5233124608083025e-05
131,3.0,0.365158,1987.6,1851.9,2186.1,665.5,1186.4,0.1255446,0.08115269646156249,-0.0005650943064283622,0.0018340817164266554,-0.005287499999999999,6.180277265273348e-05
132,1.0,-0.73025,1692.7,2800.5,1237.5,1503.1,1297.4,0.1252947,0.0810206596990792,-0.00063311411243628,0.00156540634166985,-0.0052945,5.882176504275366e-05
133,3.0,0.47674500000000003,1323.2,2700.1,1337.9,1151.3,1548.8,0.1257655,0.08118693363214768,-0.0005605199997292382,0.00173933633679464,-0.005293399999999999,4.1973184824889964e-05
134,1.0,0.511795,2609.2,2420.0,1618.0,1035.9,1384.1,0.12605170000000002,0.08131861777376091,-0.0005485455465447982,0.0019732542535426103,-0.005354200000000001,4.611377542073886e-05
135,0.0,-0.377927,2324.8,1795.3,2242.7,587.5,1207.8,0.1259388,0.08125540874509551,-0.0006224705089780266,0.00194178617293007,-0.005359399999999999,4.002493725814781e-05
136,0.0,0.552694,2650.3,2909.2,1128.8,1266.0,1643.2,0.1262453,0.08142265945980484,-0.0004821741856868015,0.0021577559233561298,-0.0053723,6.353352165550227e-05
137,5.0,0.730716,1842.9,3816.9,221.1,2127.6,1689.3,0.1267903,0.08179701984385832,-0.0003559667969988143,0.0022941798987893398,-0.005446999999999999,8.055772005444949e-05
