,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
54,5.0,-0.46916,1355,3738,300,1738,2000,0.112002,0.08780831702768445,0.00211436175342739,0.002452364346019924,-0.001677,0.00021552592259506024
55,4.0,-0.67529,859,3193,845,1793,1400,0.11181,0.08752782255421913,0.002267249521836087,0.0020210376932163552,-0.001936,0.0002270942718151642
56,0.0,0.527943,3055,3589,449,1747,1842,0.11199,0.08766632738562996,0.002462687445272474,0.0017977654918692547,-0.002019,0.00022365653227084798
57,1.0,0.480674,130,3725,313,1615,2110,0.112075,0.08755907353887277,0.0028857213521897482,0.0018142241392859334,-0.002117,0.00029789981030996655
58,5.0,0.64602,2093,3752,286,2109,1643,0.112321,0.08794445597726644,0.002836269901408312,0.0015320038053044764,-0.00209,0.00032061288904232604
59,0.0,-0.408563,1355,2650,1388,1075,1575,0.112138,0.0878498630546107,0.0020939938858825493,0.0007650891698448201,-0.001992,0.0003170077392527742
60,2.0,0.548847,1355,3147,891,1536,1611,0.112259,0.08778010452106975,0.0016143784813078383,0.001476310704443535,-0.00192,0.0002886046939445296
61,0.0,0.428672,1797,6,4032,0,6,0.112259,0.08778026543240568,0.0016143784813078383,0.001476310704443535,-0.00192,0.00028585008884425724
62,4.0,0.552901,1355,3059,979,1499,1560,0.112624,0.08810557669834235,0.0021347039346222177,0.0016636319678223909,-0.001618,0.00028101968527901835
63,3.0,0.778063,301,3644,394,2178,1466,0.113302,0.08846548521149619,0.002171499700024876,0.00173749623495329,-0.001642,0.0003051773480668371
64,1.0,-0.536411,2093,3817,221,1834,1983,0.113184,0.08842581674242837,0.0017079414005425604,0.0019201957984184078,-0.001552,0.0002827653731555554
65,0.0,-0.623669,1355,3622,416,1933,1689,0.113007,0.08821806171040844,0.0011904710040393663,0.0018163157930719159,-0.001465,0.00029133421135808075
66,3.0,0.509756,301,3,4035,0,3,0.113008,0.08821821021393196,0.0011904710040393663,0.0018163157930719159,-0.001464,0.00029134876116413837
67,0.0,0.655686,3649,3498,540,1906,1592,0.113204,0.08839399196674123,0.0010603570282385732,0.001561753453313084,-0.001585,0.00025819775844069197
68,4.0,-0.339661,2093,395,3643,126,269,0.113177,0.08837547265266493,0.0010238870245262966,0.0014971025313633701,-0.001596,0.00025658578628036627
69,4.0,0.55661,394,3102,936,1549,1553,0.113536,0.08889588374727142,0.0012244532062170162,0.0016738684977402132,-0.001284,0.0002611028719676426
70,2.0,0.649722,1355,3911,127,2154,1757,0.113791,0.08922732477890435,0.0010543557936613743,0.0024431802583393908,-0.001043,0.00025775108728496535
71,0.0,0.676847,2133,3547,491,1970,1577,0.113918,0.08933255200759814,0.0010905123958759196,0.003913710544385194,-0.001155,0.0002692562494538191
72,3.0,0.768761,861,3704,334,2231,1473,0.114496,0.08967106917026255,0.0011432412810198386,0.003851993322487239,-0.001186,0.0002636390194463914
73,0.0,-0.505987,1355,3632,406,1695,1937,0.1144,0.08956333355712816,0.0006638257046580311,0.0035862871173045893,-0.001122,0.00026194850199157593
74,0.0,0.50125,2694,3564,474,1652,1912,0.114693,0.08965769891932576,-0.00012343512360370068,0.003830859781621227,-0.001316,0.0002666896031780844
75,4.0,-0.412028,2093,603,3435,225,378,0.114672,0.08964540440845074,-0.00028456564662237237,0.003830859781621227,-0.001333,0.00026369888490348397
76,4.0,0.505494,3739,3607,431,1676,1931,0.114832,0.08986218219070748,0.0002123423328234568,0.003793128018641628,-0.001205,0.0002663467350314034
77,5.0,0.41513,2093,3670,368,1543,2127,0.115052,0.09014641314528463,0.00024197424600444037,0.004037668595020172,-0.001091,0.0002685544547640105
78,2.0,-0.426455,2284,3095,943,1291,1804,0.114888,0.08987669516622913,0.00013043189818855267,0.0030875390087684806,-0.00125,0.00033000971596727866
79,5.0,-0.271491,1673,3043,995,923,2120,0.114712,0.08973300081540989,0.00011720439024171886,0.0030875390087684806,-0.001297,0.0003213703639353047
80,1.0,-0.600844,3055,3645,393,1887,1758,0.114639,0.08966167722802931,0.0002311892323051891,0.0030875390087684806,-0.001251,0.00033438593709697833
81,0.0,0.826338,3055,3668,370,2237,1431,0.114869,0.08968554632057793,-0.00025501274138992004,0.0016364360050013184,-0.001459,0.00042726197076867927
82,1.0,-0.335564,3481,755,3283,249,506,0.114871,0.0896873187031279,-0.00025501274138992004,0.0016364360050013184,-0.001452,0.00043654228080141564
83,0.0,-0.552554,1355,3637,401,1800,1837,0.114752,0.08965209174167632,-0.000491392092305842,0.002219898452647759,-0.001399,0.00043885289442385995
84,1.0,0.669822,1355,3720,318,2026,1694,0.114863,0.08969098114973444,-0.00021736490679042495,0.002442086182637966,-0.001529,0.00048096594220796494
